id__bioguide,id__thomas,id__govtrack,social__twitter,social__facebook,social__youtube,social__youtube_id,social__twitter_id,social__instagram,social__instagram_id
F000454,01888,412257,RepBillFoster,CongressmanBillFoster,RepBillFoster,UCicixINQr_-3cFHI2bJzFpQ,1080509366,,
P000606,02141,412551,RepPittenger,congressmanpittenger,CongressmanPittenger,UCPr1MiyBx6K6wH3zgMWFtMQ,950328072,,
M001187,02142,412552,RepMarkMeadows,Repmarkmeadows,RepMarkMeadows,UCu1unBO6gQdCz3qok5LPFGQ,963480595,repmarkmeadows,
F000462,02119,412529,RepLoisFrankel,RepLoisFrankel,reploisfrankel,UCEk5viAhxaW_2OK20-yBwzQ,1077121945,reploisfrankel,
H001067,02140,412550,RepRichHudson,RepRichHudson,RepRichHudson,UC9Q1qCvnQR7rHERjTjJl5Pg,935033864,,
V000131,02166,412579,RepVeasey,CongressmanMarcVeasey,marcveasey,UC2CRp1KF5uljZyhDRPR-72Q,1074129612,repveasey,676925345
V000132,02167,412580,RepFilemonVela,USCongressmanFilemonVela,RepFilemonVela,,1083448909,,
P000605,02157,412569,RepScottPerry,repscottperry,RepScottPerry,UCzgrU5PT_HHRgf5hXPen4dQ,18773159,repscottperry,519463466
R000599,02109,412519,CongressmanRuiz,CongressmanRaulRuizMD,repraulruiz,UCSDk-cyNPCo1iy6rweSPmBw,1089859058,,
C001094,02103,412513,RepPaulCook,RepPaulCook,RepPaulCook,UCqK--hf5cuvg7BR_oisyRiA,1074412920,,
C001096,02144,412555,RepKevinCramer,CongressmanKevinCramer,kevincramer,UCqUPdO9XaAW-dvwwXKbIVdA,1048784496,repkevincramer,
C001092,02151,412563,RepChrisCollins,RepChrisCollins,RepChrisCollins,UCSwQQJaKI4TzuYDUwHwwnxQ,1058256326,repchriscollins,379808544
W000812,02137,412548,RepAnnWagner,RepAnnWagner,,UCy2v2DXXvQnbRc8Zx77Dnsg,1051446626,,
W000817,02182,412542,SenWarren,senatorelizabethwarren,senelizabethwarren,UCTH9zV8Imw09J5bOoTR18_A,970207298,,
D000619,02126,412536,RodneyDavis,RepRodneyDavis,RepRodneyDavis,UCiGPTfpwRxqQp0Bam5S8zwA,993153006,reprodneydavis,
S001192,02168,412581,RepChrisStewart,RepChrisStewart,repchrisstewart,UCKYqzTvmQVWys-WhrCkbyPw,1072008757,repChrisStewart,
B001282,02131,412541,RepAndyBarr,RepAndyBarr,RepAndyBarr,UCVL2s6x7f7H0ZJ-uwU0pQ6Q,1089334250,,
C001098,02175,412573,SenTedCruz,SenatorTedCruz,sentedcruz,UCOTZ-6H1rri1lSsj6IzhUyw,1074480192,,
D000096,01477,400093,RepDannyDavis,CongressmanDKDavis,dannykdavis07,UCdhrT09_XMr31tuI8OcKsjQ,789244177,,
G000546,01656,400158,RepSamGraves,118514606128,,,29766367,,
B001283,02155,412567,RepJBridenstine,CongressmanJimBridenstine,RepJimBridenstine,UC4uUpWvIK-fiOfTG_D3rX8g,1092757885,repjbridenstine,295797332
B001230,01558,400013,SenatorBaldwin,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,1074518754,senatorbaldwin,
