id__bioguide,id__thomas,id__lis,id__govtrack,id__opensecrets,id__votesmart,id__icpsr,id__wikidata,id__google_entity_id,id__fec__-,id__wikipedia,id__house_history,id__icpsr_prez,name__first,name__middle,name__last,name__nickname,name__suffix,bio__birthday,bio__gender,bio__religion,terms__type,terms__start,terms__end,terms__party,terms__how
G000321,00449,S170,404679,,,14423,,,,,,,Albert,Arnold,Gore,Al,Jr.,1948/03/31,M,,viceprez,1997/01/20,2001/01/20,Democrat,election
,,,412374,,,,,,,,,99909,William,Jefferson,Clinton,Bill,,1946/08/19,M,,prez,1993/01/20,1997/01/20,Democrat,election
,,,412374,,,,,,,,,99909,William,Jefferson,Clinton,Bill,,1946/08/19,M,,prez,1997/01/20,2001/01/20,Democrat,election
C000344,00193,,402484,,,14611,,,,,,,Richard,Bruce,Cheney,Dick,,1941/01/30,M,,viceprez,2001/01/20,2005/01/20,Republican,election
C000344,00193,,402484,,,14611,,,,,,,Richard,Bruce,Cheney,Dick,,1941/01/30,M,,viceprez,2005/01/20,2009/01/20,Republican,election
,,,412375,,,,,,,,,,George,Walker,Bush,,,1946/07/06,M,,prez,2001/01/20,2005/01/20,Republican,election
,,,412375,,,,,,,,,,George,Walker,Bush,,,1946/07/06,M,,prez,2005/01/20,2009/01/20,Republican,election
B000444,01284,S010,300008,N00001669,53279,14101,,,S8DE00012,,,,Joseph,Robinette,Biden,Joe,Jr.,1942/11/20,M,Roman Catholic,viceprez,2009/01/20,2013/01/20,Democrat,election
B000444,01284,S010,300008,N00001669,53279,14101,,,S8DE00012,,,,Joseph,Robinette,Biden,Joe,Jr.,1942/11/20,M,Roman Catholic,viceprez,2013/01/20,2017/01/20,Democrat,election
O000167,01763,S298,400629,N00009638,9490,,,,,,,,Barack,Hussein,Obama,,,1961/08/04,M,,prez,2009/01/20,2013/01/20,Democrat,election
O000167,01763,S298,400629,N00009638,9490,,,,,,,,Barack,Hussein,Obama,,,1961/08/04,M,,prez,2013/01/20,2017/01/20,Democrat,election
P000587,01649,,400315,N00003765,34024,20117,Q24313,kg:/m/022r9r,H8IN02060,Mike Pence,20013,,Mike,,Pence,,,1959/06/07,M,,viceprez,2017/01/20,2021/01/20,Republican,election
,,,412733,N00023864,15723,,,,P80001571,Donald Trump,,,Donald,J.,Trump,,,1946/06/14,M,,prez,2017/01/20,2021/01/20,Republican,election
