committee,name,party,rank,title,thomas,bioguide,chamber
SSFR09,Bob Corker,majority,6,Ex Officio,01825,C001071,
SSFR09,Cory A. Booker,minority,1,Ranking Member,02194,B001288,
SSFR09,Christopher A. Coons,minority,2,,01984,C001088,
SSFR09,Tom Udall,minority,3,,01567,U000039,
SSFR09,Jeff Merkley,minority,4,,01900,M001176,
SSFR09,Benjamin L. Cardin,minority,5,Ex Officio,00174,C000141,
SSFR14,Johnny Isakson,majority,1,Chairman,01608,I000055,
SSFR14,James E. Risch,majority,2,,01896,R000584,
SSFR14,Marco Rubio,majority,3,,02084,R000595,
SSFR14,Rob Portman,majority,4,,00924,P000449,
SSFR14,Rand Paul,majority,5,,02082,P000603,
SSFR14,Bob Corker,majority,6,Ex Officio,01825,C001071,
SSFR14,Jeanne Shaheen,minority,1,Ranking Member,01901,S001181,
SSFR14,Christopher A. Coons,minority,2,,01984,C001088,
SSFR14,Cory A. Booker,minority,3,,02194,B001288,
SSFR14,Tom Udall,minority,4,,01567,U000039,
SSFR14,Benjamin L. Cardin,minority,5,Ex Officio,00174,C000141,
SSFR15,Todd Young,majority,1,Chairman,02019,Y000064,
SSFR15,Jeff Flake,majority,2,,01633,F000444,
SSFR15,Cory Gardner,majority,3,,01998,G000562,
SSFR15,John Barrasso,majority,4,,01881,B001261,
SSFR15,Rob Portman,majority,5,,00924,P000449,
SSFR15,Bob Corker,majority,6,Ex Officio,01825,C001071,
SSFR15,Jeff Merkley,minority,1,Ranking Member,01900,M001176,
SSFR15,Tom Udall,minority,2,,01567,U000039,
SSFR15,Christopher A. Coons,minority,3,,01984,C001088,
SSFR15,Edward J. Markey,minority,4,,00735,M000133,
SSFR15,Benjamin L. Cardin,minority,5,Ex Officio,00174,C000141,
SSGA,Ron Johnson,majority,1,Chairman,02086,J000293,
SSGA,John McCain,majority,2,,00754,M000303,
SSGA,Rob Portman,majority,3,,00924,P000449,
SSGA,Rand Paul,majority,4,,02082,P000603,
SSGA,James Lankford,majority,5,,02050,L000575,
SSGA,Michael B. Enzi,majority,6,,01542,E000285,
SSGA,John Hoeven,majority,7,,02079,H001061,
SSGA,Steve Daines,majority,8,,02138,D000618,
SSGA,Claire McCaskill,minority,1,Ranking Member,01820,M001170,
SSGA,Thomas R. Carper,minority,2,,00179,C000174,
SSGA,Jon Tester,minority,3,,01829,T000464,
SSGA,Heidi Heitkamp,minority,4,,02174,H001069,
SSGA,Gary C. Peters,minority,5,,01929,P000595,
SSGA,Margaret Wood Hassan,minority,6,,,H001076,
SSGA,Kamala D. Harris,minority,7,,,H001075,
SSGA01,Rob Portman,majority,1,Chairman,00924,P000449,
SSGA01,James Lankford,majority,2,,02050,L000575,
SSGA01,John McCain,majority,3,,00754,M000303,
SSGA01,Rand Paul,majority,4,,02082,P000603,
SSGA01,Steve Daines,majority,5,,02138,D000618,
SSGA01,Ron Johnson,majority,6,Ex Officio,02086,J000293,
SSGA01,Thomas R. Carper,minority,1,Ranking Member,00179,C000174,
SSGA01,Jon Tester,minority,2,,01829,T000464,
SSGA01,Heidi Heitkamp,minority,3,,02174,H001069,
SSGA01,Gary C. Peters,minority,4,,01929,P000595,
SSGA01,Claire McCaskill,minority,5,Ex Officio,01820,M001170,
SSGA18,Rand Paul,majority,1,Chairman,02082,P000603,
SSGA18,James Lankford,majority,2,,02050,L000575,
SSGA18,Michael B. Enzi,majority,3,,01542,E000285,
SSGA18,John Hoeven,majority,4,,02079,H001061,
SSGA18,Ron Johnson,majority,5,Ex Officio,02086,J000293,
SSGA18,Gary C. Peters,minority,1,Ranking Member,01929,P000595,
SSGA18,Margaret Wood Hassan,minority,2,,,H001076,
SSGA18,Kamala D. Harris,minority,3,,,H001075,
SSGA18,Claire McCaskill,minority,4,Ex Officio,01820,M001170,
SSGA19,James Lankford,majority,1,Chairman,02050,L000575,
SSGA19,John McCain,majority,2,,00754,M000303,
SSGA19,Rob Portman,majority,3,,00924,P000449,
SSGA19,Michael B. Enzi,majority,4,,01542,E000285,
SSGA19,Steve Daines,majority,5,,02138,D000618,
SSGA19,Ron Johnson,majority,6,Ex Officio,02086,J000293,
SSGA19,Heidi Heitkamp,minority,1,Ranking Member,02174,H001069,
SSGA19,Thomas R. Carper,minority,2,,00179,C000174,
SSGA19,Margaret Wood Hassan,minority,3,,,H001076,
SSGA19,Kamala D. Harris,minority,4,,,H001075,
SSGA19,Claire McCaskill,minority,5,Ex Officio,01820,M001170,
SSHR,Lamar Alexander,majority,1,Chairman,01695,A000360,
SSHR,Michael B. Enzi,majority,2,,01542,E000285,
SSHR,Richard Burr,majority,3,,00153,B001135,
SSHR,Johnny Isakson,majority,4,,01608,I000055,
SSHR,Rand Paul,majority,5,,02082,P000603,
SSHR,Susan M. Collins,majority,6,,01541,C001035,
SSHR,Bill Cassidy,majority,7,,01925,C001075,
SSHR,Todd Young,majority,8,,02019,Y000064,
SSHR,Orrin G. Hatch,majority,9,,01351,H000338,
SSHR,Pat Roberts,majority,10,,00968,R000307,
SSHR,Lisa Murkowski,majority,11,,01694,M001153,
SSHR,Tim Scott,majority,12,,02056,S001184,
SSHR,Patty Murray,minority,1,Ranking Member,01409,M001111,
SSHR,Bernard Sanders,minority,2,,01010,S000033,
SSHR,"Robert P. Casey, Jr.",minority,3,,01828,C001070,
SSHR,Michael F. Bennet,minority,5,,01965,B001267,
SSHR,Sheldon Whitehouse,minority,6,,01823,W000802,
SSHR,Tammy Baldwin,minority,7,,01558,B001230,
SSHR,Christopher Murphy,minority,8,,01837,M001169,
SSHR,Elizabeth Warren,minority,9,,02182,W000817,
SSHR,Tim Kaine,minority,10,,02176,K000384,
SSHR,Margaret Wood Hassan,minority,11,,,H001076,
SSHR09,Rand Paul,majority,1,Chairman,02082,P000603,
SSHR09,Lisa Murkowski,majority,2,,01694,M001153,
SSHR09,Richard Burr,majority,3,,00153,B001135,
SSHR09,Bill Cassidy,majority,4,,01925,C001075,
SSHR09,Todd Young,majority,5,,02019,Y000064,
SSHR09,Orrin G. Hatch,majority,6,,01351,H000338,
SSHR09,Pat Roberts,majority,7,,00968,R000307,
SSHR09,Lamar Alexander,majority,8,Ex Officio,01695,A000360,
SSHR09,"Robert P. Casey, Jr.",minority,1,Ranking Member,01828,C001070,
SSHR09,Bernard Sanders,minority,2,,01010,S000033,
SSHR09,Michael F. Bennet,minority,4,,01965,B001267,
SSHR09,Tim Kaine,minority,5,,02176,K000384,
SSHR09,Margaret Wood Hassan,minority,6,,,H001076,
SSHR09,Patty Murray,minority,7,Ex Officio,01409,M001111,
SSHR11,Johnny Isakson,majority,1,Chairman,01608,I000055,
SSHR11,Pat Roberts,majority,2,,00968,R000307,
SSHR11,Tim Scott,majority,3,,02056,S001184,
SSHR11,Richard Burr,majority,4,,00153,B001135,
SSHR11,Rand Paul,majority,5,,02082,P000603,
SSHR11,Bill Cassidy,majority,6,,01925,C001075,
SSHR11,Todd Young,majority,7,,02019,Y000064,
SSHR11,Lamar Alexander,majority,8,Ex Officio,01695,A000360,
SSHR11,"Robert P. Casey, Jr.",minority,2,,01828,C001070,
SSHR11,Sheldon Whitehouse,minority,3,,01823,W000802,
SSHR11,Tammy Baldwin,minority,4,,01558,B001230,
